Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),SALA:Zone Mean Air Temperature [C](TimeStep),SALA:Zone Operative Temperature [C](TimeStep),JANSO:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSL:AFN Surface Venting Window or Door Opening Factor [](TimeStep),JANSS:AFN Surface Venting Window or Door Opening Factor [](TimeStep),SALA:AFN Zone Infiltration Air Change Rate [ach](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](TimeStep),SALA IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](TimeStep)
 01/01  11:50:00,27.81666667,24.80037245,24.71166438,0,0,0,0.129456628,0,0
 01/01  12:00:00,28,24.87223659,24.78448277,0,0,0,0.133504777,0,0
 01/01  12:10:00,28.06666667,24.93525209,24.84848107,0,0,0,0.13704512,0,0
 01/01  12:20:00,28.13333333,24.9911031,24.90618353,0,0,0,0.14006203,0,0
 01/01  12:30:00,28.2,25.04413562,24.96201889,0,0,0,0.136843668,0,0
 01/01  12:40:00,28.26666667,25.10362886,25.02422491,0,0,0,0.132478407,0,0
 01/01  12:50:00,28.33333333,25.17174154,25.09202861,0,0,0,0.129100086,0,0
 01/01  13:00:00,28.4,25.2469441,25.16542272,0,0,0,0.127990289,0,0
 01/01  13:10:00,28.53333333,25.33440489,25.24805543,0,0,0,0.152888115,0,0
 01/01  13:20:00,28.66666667,25.43400037,25.34004313,0,0,0,0.175803068,0,0
 01/01  13:30:00,28.8,25.54252224,25.44014766,0,0,0,0.196733215,0,0
 01/01  13:40:00,28.93333333,25.64072263,25.52846226,0,0,0,0.216611361,0,0
 01/01  13:50:00,29.06666667,25.7222601,25.60640534,0,0,0,0.226881457,0,0
 01/01  14:00:00,29.2,25.78692967,25.67002869,0,0,0,0.236086541,0,0
 01/01  14:10:00,29.16666667,27.25886339,26.51896958,0,0,0,0.270141316,0,0
 01/01  14:20:00,29.13333333,23.03849267,24.57719004,0,0,0,0.152990862,0,733876.521
 01/01  14:30:00,29.1,23,24.45361672,0,0,0,0.132912148,0,219860.6057
 01/01  14:40:00,29.06666667,23,24.40288718,0,0,0,0.127686098,0,363990.5677
 01/01  14:50:00,29.03333333,23,24.36380927,0,0,0,0.127877891,0,289958.2976
 01/01  15:00:00,29,23,24.32386996,0,0,0,0.130514192,0,282757.7192
 01/01  15:10:00,28.95,23,24.29082022,0,0,0,0.130478228,0,277072.4786
 01/01  15:20:00,28.9,23,24.25985211,0,0,0,0.122132707,0,271743.0027
 01/01  15:30:00,28.85,23,24.22972648,0,0,0,0.11600187,0,266783.9111
 01/01  15:40:00,28.8,23,24.19347773,0,0,0,0.117373704,0,261252.8562
 01/01  15:50:00,28.75,23,24.15406669,0,0,0,0.11695067,0,255293.0964
 01/01  16:00:00,28.7,23,24.11147687,0,0,0,0.114030787,0,248915.1699
 01/01  16:10:00,27.75,23,24.06197393,0,0,0,0.094234696,0,250658.4346
 01/01  16:20:00,26.8,23,24.00630222,0,0,0,0.074460298,0,241673.68
 01/01  16:30:00,25.85,23,23.94337723,0,0,0,0.053232292,0,232116.7231
 01/01  16:40:00,24.9,23,23.88615849,0,0,0,0.004919947,0,224083.0996
 01/01  16:50:00,23.95,23,23.82698,0,0,0,0,0,216646.748
 01/01  17:00:00,23,23.00370366,23.76740889,0,0,0,0,0,208646.6695
 01/01  17:10:00,23.03333333,23.00014619,23.71512187,0,0,0,0,0,202028.1499
 01/01  17:20:00,23.06666667,23.00002507,23.6655814,0,0,0,0,0,195687.3902
 01/01  17:30:00,23.1,23.00000422,23.61788251,0,0,0,0,0,190140.7892
 01/01  17:40:00,23.13333333,23.0000007,23.57476011,0,0,0,0,0,184924.2577
 01/01  17:50:00,23.16666667,23.00000011,23.53500833,0,0,0,0,0,180187.8012
 01/01  18:00:00,23.2,23.00000002,23.4986795,0,0,0,0,0,177125.3484
 01/01  18:10:00,23.25,23,23.51746656,0,0,0,0,0,246186.5935
 01/01  18:20:00,23.3,23,23.52257899,0,0,0,0,0,257310.1373
 01/01  18:30:00,23.35,23,23.52357329,0,0,0,0,0,265682.504
 01/01  18:40:00,23.4,23,23.52235421,0,0,0,0,0,269449.7757
 01/01  18:50:00,23.45,23,23.51995729,0,0,0,0.000710347,0,270303.0014
 01/01  19:00:00,23.5,23,23.51693706,0,0,0,0.006242967,0,270334.8823
 01/01  19:10:00,23.45,23,23.51227279,0,0,0,0.003201721,0,270456.4339
 01/01  19:20:00,23.4,23,23.5072183,0,0,0,0,0,270712.7415
 01/01  19:30:00,23.35,23,23.50180008,0,0,0,0,0,270740.4431
 01/01  19:40:00,23.3,23,23.49637867,0,0,0,0,0,270374.6668
 01/01  19:50:00,23.25,23,23.49067534,0,0,0,0,0,269646.9633
 01/01  20:00:00,23.2,23,23.48477772,0,0,0,0,0,268689.2861
 01/01  20:10:00,23.21666667,23,23.47975193,0,0,0,0,0,267734.3722
 01/01  20:20:00,23.23333333,23,23.47490495,0,0,0,0,0,266783.3589
 01/01  20:30:00,23.25,23,23.47024264,0,0,0,0,0,265951.1365
 01/01  20:40:00,23.26666667,23,23.46587199,0,0,0,0,0,265343.23
 01/01  20:50:00,23.28333333,23,23.46182912,0,0,0,0.001903583,0,264983.0828
 01/01  21:00:00,23.3,23,23.45813516,0,0,0,0.003199716,0,264831.2216
 01/01  21:10:00,23.33333333,23,23.45507278,0,0,0,0.006728394,0,264782.9247
 01/01  21:20:00,23.36666667,23,23.45234209,0,0,0,0.00989522,0,264839.192
 01/01  21:30:00,23.4,23,23.450041,0,0,0,0.012992707,0,264956.9023
 01/01  21:40:00,23.43333333,23,23.44814549,0,0,0,0.016101572,0,265091.7207
 01/01  21:50:00,23.46666667,23,23.44665417,0,0,0,0.026513826,0,265241.9507
 01/01  22:00:00,23.5,23,23.44554911,0,0,0,0.035400832,0,265061.9486
 01/01  22:10:00,23.48333333,23.39704593,23.48432662,0,0,0,0.010557632,0,0
 01/01  22:20:00,23.46666667,23.45677093,23.42788041,0,0,0,0,0,0
 01/01  22:30:00,23.45,23.44376977,23.34351736,0,0,0,0,0,0
 01/01  22:40:00,23.43333333,23.40937916,23.26087516,0,0,0,0,0,0
 01/01  22:50:00,23.41666667,23.36495948,23.1818071,0,0,0,0,0,0
 01/01  23:00:00,23.4,23.29104587,23.09642014,0,0,0,0,0,0
 01/01  23:10:00,23.38333333,23.20347257,23.00953254,0,0,0,0,0,0
 01/01  23:20:00,23.36666667,23.12229168,22.92963727,0,0,0,0,0,0
 01/01  23:30:00,23.35,23.05266612,22.85887824,0,0,0,0,0,0
 01/01  23:40:00,23.33333333,22.9901685,22.79480806,0,0,0,0,0,0
 01/01  23:50:00,23.31666667,22.93135654,22.73533416,0,0,0,0,0,0
 01/01  24:00:00,23.3,22.87583326,22.67985781,0,0,0,0,0,0
 01/02  00:10:00,23.31666667,22.82503674,22.62940871,0,0,0,0,0,0
 01/02  00:20:00,23.33333333,22.77475886,22.58105876,0,0,0,0,0,0
 01/02  00:30:00,23.35,22.7287323,22.53647213,0,0,0,0,0,0
 01/02  00:40:00,23.36666667,22.69087914,22.49749444,0,0,0,0,0,0
 01/02  00:50:00,23.38333333,22.66060992,22.4639517,0,0,0,0,0,0
 01/02  01:00:00,23.4,22.6338519,22.43382963,0,0,0,0,0,0
